"","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"2332","H2",2004,2004,"2004",2,0,4,"Re-Import",764,"Thailand","THA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,64747,NA,NA,0
"2333","H2",2004,2004,"2004",2,0,1,"Import",768,"Togo","TGO",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,23610991,NA,NA,0
"2334","H2",2004,2004,"2004",2,0,2,"Export",768,"Togo","TGO",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,226869,NA,NA,0
"2335","H2",2004,2004,"2004",2,0,1,"Import",780,"Trinidad and Tobago","TTO",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,62980110,NA,NA,0
"2336","H2",2004,2004,"2004",2,0,2,"Export",780,"Trinidad and Tobago","TTO",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,6239362,NA,NA,0
"2337","H2",2004,2004,"2004",2,0,1,"Import",784,"United Arab Emirates","ARE",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,455142245,NA,NA,0
"2338","H2",2004,2004,"2004",2,0,2,"Export",784,"United Arab Emirates","ARE",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,60005010,NA,NA,0
"2339","H2",2004,2004,"2004",2,0,3,"Re-Export",784,"United Arab Emirates","ARE",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,46947561,NA,NA,0
"2340","H2",2004,2004,"2004",2,0,1,"Import",788,"Tunisia","TUN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,247677383,NA,NA,0
"2341","H2",2004,2004,"2004",2,0,2,"Export",788,"Tunisia","TUN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,15578062,NA,NA,0
